"","cited","citing"
"376","10.1073/pnas.71.10.4135","10.1016/j.jmb.2006.07.068"
"377","10.1073/pnas.71.10.4135","10.1016/j.jmb.2006.07.031"
"378","10.1073/pnas.71.10.4135","10.1073/pnas.1012051108"
"379","10.1073/pnas.71.10.4135","10.1016/j.devcel.2018.03.002"
"380","10.1073/pnas.71.10.4135","10.1016/j.devcel.2017.10.006"
"381","10.1073/pnas.71.10.4135","10.1016/j.devcel.2017.09.014"
"382","10.1073/pnas.71.10.4135","10.1016/j.bpj.2011.11.4018"
"383","10.1073/pnas.71.10.4135","10.1016/j.bpj.2011.10.037"
"384","10.1073/pnas.71.10.4135","10.1016/j.bpj.2011.07.001"
"385","10.1073/pnas.71.10.4135","10.1016/j.tcb.2022.07.006"
"386","10.1073/pnas.71.10.4135","10.1038/382496a0"
"387","10.1073/pnas.71.10.4135","10.1088/1367-2630/acc757"
"388","10.1073/pnas.71.10.4135","10.1128/jb.00852-08"
"389","10.1073/pnas.71.10.4135","10.1016/s0021-9258(20)79678-x"
"390","10.1073/pnas.71.10.4135","10.1074/jbc.m704788200"
"391","10.1073/pnas.71.10.4135","10.1091/mbc.e17-06-0350"
"392","10.1073/pnas.71.10.4135","10.1039/c6mb00388e"
"393","10.1073/pnas.71.10.4135","10.1039/c5mb00055f"
"394","10.1073/pnas.71.10.4135","10.1111/j.1432-1033.1977.tb11415.x"
"395","10.1073/pnas.71.10.4135","10.1063/1.5140714"
"396","10.1073/pnas.71.10.4135","10.1093/nar/gkt136"
"397","10.1073/pnas.71.10.4135","10.3390/ijms16059866"
"398","10.1073/pnas.71.10.4135","10.1016/s0300-9084(02)01409-8"
"399","10.1073/pnas.71.10.4135","10.1063/1.4967335"
"400","10.1073/pnas.71.10.4135","10.1021/jp004117l"
"401","10.1073/pnas.71.10.4135","10.4049/jimmunol.170.7.3769"
"402","10.1073/pnas.71.10.4135","10.1073/pnas.1602602113"
"403","10.1073/pnas.71.10.4135","10.1073/pnas.1608795113"
"404","10.1073/pnas.71.10.4135","10.1073/pnas.0503456102"
"405","10.1073/pnas.71.10.4135","10.1126/science.281.5376.568"
"406","10.1073/pnas.71.10.4135","10.1126/science.285.5436.2095"
"407","10.1073/pnas.71.10.4135","10.1126/science.1060612"
"408","10.1073/pnas.71.10.4135","10.1126/science.280.5363.541"
"409","10.1073/pnas.71.10.4135","10.1038/263289a0"
"410","10.1073/pnas.71.10.4135","10.1002/1099-1352(200101/02)14:1<42::aid-jmr518>3.0.co;2-8"
"411","10.1073/pnas.71.10.4135","10.1038/s41594-023-01078-5"
"412","10.1073/pnas.71.10.4135","10.1103/physrevresearch.5.023032"
"413","10.1073/pnas.71.10.4135","10.1103/physrevresearch.5.013170"
"414","10.1073/pnas.71.10.4135","10.1038/s41570-023-00558-y"
"415","10.1073/pnas.71.10.4135","10.1039/d0cp02422h"
"416","10.1073/pnas.71.10.4135","10.1021/acs.biochem.5b00122"
"417","10.1073/pnas.71.10.4135","10.1016/s0092-8674(00)80738-2"
"418","10.1073/pnas.71.10.4135","10.1042/bst0331460"
"419","10.1073/pnas.71.10.4135","10.1007/bf00986958"
"420","10.1073/pnas.71.10.4135","10.1007/bf00379994"
"421","10.1073/pnas.71.10.4135","10.1016/s0021-9258(18)45296-9"
"422","10.1073/pnas.71.10.4135","10.1016/j.tree.2005.11.008"
"423","10.1073/pnas.71.10.4135","10.1091/mbc.e14-02-0753"
"424","10.1073/pnas.71.10.4135","10.1002/pro.3190"
"425","10.1073/pnas.71.10.4135","10.1002/anie.201001436"
"426","10.1073/pnas.71.10.4135","10.1111/j.1432-1033.1982.tb06516.x"
"427","10.1073/pnas.71.10.4135","10.1093/nar/gks1240"
"428","10.1073/pnas.71.10.4135","10.1016/0014-5793(83)80026-x"
"429","10.1073/pnas.71.10.4135","10.1016/0014-5793(88)81225-0"
"430","10.1073/pnas.71.10.4135","10.1016/0014-5793(75)80702-2"
"431","10.1073/pnas.71.10.4135","10.1002/ange.19850971206"
"432","10.1073/pnas.71.10.4135","10.1038/emboj.2008.243"
"433","10.1073/pnas.71.10.4135","10.2976/1.2909080"
"434","10.1073/pnas.71.10.4135","10.1016/j.nbt.2011.11.016"
"435","10.1073/pnas.71.10.4135","10.1103/physreve.90.022704"
